x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
571473921,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
573636609,1,0,0,0,1,0,0,0,0,0,1,16,16,0,1,0,0,0,0,x,x,x,x,x,x,x,x
575799297,1,0,0,0,1,0,0,0,0,0,1,17,17,0,1,1,0,0,0,1,0,16,0,0,x,x,x
580124675,1,0,0,0,1,0,0,0,0,0,1,18,18,0,1,1,0,0,0,1,0,17,1,0,x,1,16
303300619,1,0,0,0,1,0,0,0,0,0,3,20,20,0,3,1,0,0,0,1,0,18,1,0,x,1,17
303300619,0,0,0,0,0,1,0,1,0,0,11,16,20,0,11,1,0,0,0,3,0,20,1,0,x,1,18
571473921,0,0,0,0,0,0,1,1,0,0,11,16,20,0,11,0,0,0,0,4,3,0,1,0,x,3,20
537985025,1,0,0,0,1,0,0,1,1,0,1,16,16,0,1,0,0,0,0,4294967294,3,20,0,0,x,4,0
305463292,1,0,0,0,1,0,0,0,1,0,1,0,17,0,1,1,0,0,0,2,1,16,0,0,x,4294967294,20
305463292,0,0,0,0,0,1,0,1,3,31,4294967292,17,20,31,60,1,0,0,0,1,1,17,1,0,x,2,16
538050561,0,0,0,0,0,0,1,1,3,31,4294967292,17,20,31,60,0,0,0,0,4,3,31,1,0,x,1,17
573636609,1,0,0,0,1,0,0,0,1,0,1,0,18,0,1,0,0,0,0,4294967294,3,20,0,0,x,4,31
577961985,1,0,0,0,1,0,0,1,1,0,1,17,17,0,1,1,0,0,0,1,1,18,0,0,x,4294967294,20
577961985,1,0,0,0,1,0,0,0,0,0,1,19,19,0,1,1,0,0,0,2,1,17,1,0,x,1,18
577961985,1,0,0,0,1,0,0,0,0,0,1,19,19,0,1,1,0,0,0,1,0,19,1,0,x,2,17
575799297,1,0,0,0,1,0,0,0,0,0,1,19,19,0,1,1,0,0,0,2,1,19,1,0,x,1,19
307560440,1,0,0,0,1,0,0,1,1,0,1,18,18,0,1,1,0,0,0,3,2,19,1,0,x,2,19
307560440,0,0,0,0,0,1,0,1,3,31,4294967288,18,20,31,56,1,0,0,0,2,1,18,1,0,x,3,19
134217738,0,0,0,0,0,0,1,1,3,31,4294967288,18,20,31,56,0,0,0,0,5,3,31,1,0,x,2,18
0,0,x,0,0,x,x,X,0,0,0,10,0,0,0,10,0,0,0,0,4294967295,3,20,0,0,x,5,31
577961985,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,3,3,0,1,19,19,0,1,1,0,0,0,0,0,0,0,x,x,0,0
577961985,1,0,0,0,1,0,0,3,3,0,1,19,19,0,1,1,0,0,0,4,3,19,1,0,x,0,0
575799297,1,0,0,0,1,0,0,3,3,0,1,19,19,0,1,1,0,0,0,5,4,19,1,0,x,4,19
307560440,1,0,0,0,1,0,0,2,2,0,1,18,18,0,1,1,0,0,0,6,5,19,1,0,x,5,19
307560440,0,0,0,0,0,1,0,2,3,31,4294967288,18,20,31,56,1,0,0,0,3,2,18,1,0,x,6,19
0,0,0,0,0,0,0,1,2,3,31,4294967288,18,20,31,56,0,0,0,0,6,3,31,1,0,x,3,18
305463292,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,x,6,31
538050561,0,0,0,0,0,0,1,2,3,31,4294967292,17,20,31,60,1,0,0,0,0,0,0,0,0,x,0,20
573636609,1,0,0,0,1,0,0,0,3,0,1,0,18,0,1,0,0,0,0,4294967295,3,20,1,0,x,0,0
577961985,1,0,0,0,1,0,0,2,2,0,1,17,17,0,1,1,0,0,0,1,3,18,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,6,6,0,1,19,19,0,1,1,0,0,0,3,2,17,1,0,x,1,18
577961985,1,0,0,0,1,0,0,6,6,0,1,19,19,0,1,1,0,0,0,7,6,19,1,0,x,3,17
575799297,1,0,0,0,1,0,0,6,6,0,1,19,19,0,1,1,0,0,0,8,7,19,1,0,x,7,19
307560440,1,0,0,0,1,0,0,1,1,0,1,18,18,0,1,1,0,0,0,9,8,19,1,0,x,8,19
307560440,0,0,0,0,0,1,0,1,3,31,4294967288,18,20,31,56,1,0,0,0,2,1,18,1,0,x,9,19
134217738,0,0,0,0,0,0,1,1,3,31,4294967288,18,20,31,56,0,0,0,0,5,3,31,1,0,x,2,18
0,0,x,0,0,x,x,X,0,0,0,10,0,0,0,10,0,0,0,0,4294967295,3,20,0,0,x,5,31
577961985,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,9,9,0,1,19,19,0,1,1,0,0,0,0,0,0,0,x,x,0,0
577961985,1,0,0,0,1,0,0,9,9,0,1,19,19,0,1,1,0,0,0,10,9,19,1,0,x,0,0
575799297,1,0,0,0,1,0,0,9,9,0,1,19,19,0,1,1,0,0,0,11,10,19,1,0,x,10,19
307560440,1,0,0,0,1,0,0,2,2,0,1,18,18,0,1,1,0,0,0,12,11,19,1,0,x,11,19
307560440,0,0,0,0,0,1,0,2,3,31,4294967288,18,20,31,56,1,0,0,0,3,2,18,1,0,x,12,19
0,0,0,0,0,0,0,1,2,3,31,4294967288,18,20,31,56,0,0,0,0,6,3,31,1,0,x,3,18
305463292,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,x,6,31
